texto,categoria,prioridade,setor
"Foi identificado que permissão de acesso não foi aplicada corretamente no sistema. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Acesso,Média,Sistemas
Foi identificado que scanner multifuncional não aparece para o usuário. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Impressora,Crítica,Suporte N1
"Preciso de suporte porque scanner multifuncional não aparece para o usuário. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Impressora,Alta,Suporte N1
Preciso de suporte porque equipamento apresenta falha após troca de componente. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Infraestrutura
"Preciso de suporte porque perfil não possui acesso a uma função do sistema. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Acesso,Média,Sistemas
"Estamos com uma ocorrência em que usuário não consegue imprimir na impressora do setor. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Impressora,Alta,Suporte N1
"Preciso de suporte porque usuário recebeu aviso de alteração de senha que não solicitou. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Acesso,Média,Segurança
Preciso de suporte porque monitor fica sem imagem durante o uso. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Hardware,Crítica,Suporte N1
"Foi identificado que conexão com o servidor está intermitente. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Rede,Crítica,Infraestrutura
"Foi identificado que documentos ficam presos na fila de impressão. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Impressora,Média,Suporte N1
Foi identificado que integração do sistema com o envio de e-mails falhou. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Solicito análise da equipe responsável.,E-mail,Média,Sistemas
"Foi identificado que equipamento não recebe conexão pela rede cabeada. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Rede,Alta,Infraestrutura
Estamos com uma ocorrência em que antivírus identificou uma ameaça em um arquivo. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Segurança,Alta,Segurança
Foi identificado que sistema corporativo não consegue gerar o documento para impressão. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Impressora,Alta,Sistemas
"Estamos com uma ocorrência em que usuário recebeu mensagem suspeita solicitando credenciais. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",E-mail,Média,Segurança
"Foi identificado que caixa de e-mail apresenta erro ao abrir. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",E-mail,Baixa,Suporte N1
Preciso de suporte porque scanner multifuncional não aparece para o usuário. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Impressora,Crítica,Suporte N1
"Foi identificado que usuário recebeu uma solicitação de autenticação que não reconhece. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Acesso,Crítica,Segurança
"Estamos com uma ocorrência em que funcionalidade do portal corporativo não responde. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",Software,Crítica,Sistemas
Foi identificado que usuário não consegue entrar na conta corporativa. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Acesso,Média,Suporte N1
Estamos com uma ocorrência em que integração do sistema com o envio de e-mails falhou. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,E-mail,Média,Sistemas
Preciso de suporte porque computador corporativo está superaquecendo. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Hardware,Alta,Infraestrutura
Preciso de suporte porque aplicação apresentou atividade incomum associada a um usuário. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,Segurança,Alta,Sistemas
"Preciso de suporte porque sistema registrou alterações de dados sem identificação clara. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Segurança,Alta,Sistemas
Foi identificado que foi identificado possível e-mail de phishing na caixa corporativa. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,E-mail,Média,Segurança
"Foi identificado que aplicação apresentou atividade incomum associada a um usuário. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Segurança,Crítica,Sistemas
Estamos com uma ocorrência em que usuário não consegue entrar na conta corporativa. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Acesso,Baixa,Suporte N1
"Preciso de suporte porque programa instalado não abre para o usuário. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Software,Média,Suporte N1
Foi identificado que VPN corporativa não estabelece conexão. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
Foi identificado que acesso a recursos internos pela rede está falhando. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Rede,Alta,Infraestrutura
"Foi identificado que ERP apresenta erro ao salvar informações. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Software,Crítica,Sistemas
"Estamos com uma ocorrência em que arquivo corporativo foi alterado sem explicação. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Segurança,Alta,Segurança
"Estamos com uma ocorrência em que credenciais parecem ter sido utilizadas em outro dispositivo. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Acesso,Alta,Segurança
"Preciso de suporte porque rede apresenta perda de conexão durante o trabalho. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Rede,Alta,Infraestrutura
Estamos com uma ocorrência em que estação de trabalho reinicia sem aviso. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Solicito análise da equipe responsável.,Hardware,Média,Infraestrutura
Foi identificado que VPN registrou conexões incomuns para uma conta. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Segurança,Baixa,Infraestrutura
Estamos com uma ocorrência em que scanner multifuncional não aparece para o usuário. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Impressora,Alta,Suporte N1
"Preciso de suporte porque foram recebidos anexos inesperados de remetente desconhecido. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",E-mail,Média,Segurança
"Preciso de suporte porque usuário não consegue enviar mensagens pelo e-mail corporativo. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",E-mail,Alta,Suporte N1
"Estamos com uma ocorrência em que funcionalidade do portal corporativo não responde. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Software,Baixa,Sistemas
Foi identificado que usuário precisa de orientação após receber um alerta de segurança. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Segurança,Crítica,Suporte N1
Estamos com uma ocorrência em que teclado parou de responder corretamente. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Hardware,Média,Suporte N1
Preciso de suporte porque teclado parou de responder corretamente. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Precisamos de orientação para resolver a situação.,Hardware,Crítica,Suporte N1
Foi identificado que impressora compartilhada não está disponível para alguns usuários. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Impressora,Média,Infraestrutura
"Preciso de suporte porque credenciais parecem ter sido utilizadas em outro dispositivo. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Acesso,Média,Segurança
Estamos com uma ocorrência em que Outlook não está sincronizando novas mensagens. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,E-mail,Alta,Suporte N1
"Preciso de suporte porque navegador redireciona para páginas inesperadas. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Segurança,Crítica,Segurança
Estamos com uma ocorrência em que usuário recebeu uma solicitação de autenticação que não reconhece. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Precisamos de orientação para resolver a situação.,Acesso,Média,Segurança
"Foi identificado que conta apresenta acessos que o usuário não reconhece. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Acesso,Média,Segurança
Foi identificado que notebook corporativo apresenta comportamento físico incomum após manutenção. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Hardware,Média,Segurança
"Preciso de suporte porque computador corporativo está superaquecendo. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Hardware,Baixa,Infraestrutura
"Estamos com uma ocorrência em que computador corporativo está superaquecendo. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Hardware,Média,Infraestrutura
Preciso de suporte porque documentos ficam presos na fila de impressão. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Impressora,Baixa,Suporte N1
Foi identificado que regra automática de e-mail não está funcionando corretamente. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,E-mail,Alta,Sistemas
"Estamos com uma ocorrência em que driver da impressora apresenta erro na estação. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Impressora,Alta,Suporte N1
Preciso de suporte porque sistema está retornando erro durante o processamento. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,Software,Alta,Sistemas
Preciso de suporte porque servidor registrou comportamento de rede fora do padrão. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Infraestrutura
Preciso de suporte porque arquivo corporativo foi alterado sem explicação. O problema é pontual e existe uma alternativa para continuar trabalhando. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Segurança
"Estamos com uma ocorrência em que equipamento não recebe conexão pela rede cabeada. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Rede,Média,Infraestrutura
"Preciso de suporte porque VPN registrou conexões incomuns para uma conta. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Segurança,Baixa,Infraestrutura
Foi identificado que houve tentativa de login em horário incomum. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Acesso,Crítica,Segurança
Estamos com uma ocorrência em que usuário recebeu alerta de acesso suspeito. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Segurança,Alta,Segurança
"Estamos com uma ocorrência em que conexão Wi-Fi cai durante o expediente. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",Rede,Crítica,Infraestrutura
Preciso de suporte porque usuário precisa de ajuda para selecionar a rede corporativa correta. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,Rede,Alta,Suporte N1
"Estamos com uma ocorrência em que servidor registrou comportamento de rede fora do padrão. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Segurança,Alta,Infraestrutura
"Foi identificado que usuário não consegue imprimir na impressora do setor. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Impressora,Crítica,Suporte N1
"Foi identificado que arquivo corporativo foi alterado sem explicação. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Segurança,Crítica,Segurança
"Estamos com uma ocorrência em que computador não liga mesmo estando conectado à tomada. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Podem verificar, por favor?",Hardware,Média,Suporte N1
Foi identificado que estação de trabalho reinicia sem aviso. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Hardware,Alta,Infraestrutura
"Foi identificado que servidor registrou comportamento de rede fora do padrão. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Segurança,Baixa,Infraestrutura
"Preciso de suporte porque impressora aparece como offline no computador. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Impressora,Crítica,Suporte N1
"Preciso de suporte porque usuário não consegue entrar na conta corporativa. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Acesso,Crítica,Suporte N1
Foi identificado que documentos ficam presos na fila de impressão. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Impressora,Crítica,Suporte N1
"Preciso de suporte porque equipamento foi encontrado com um dispositivo desconhecido conectado. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Podem verificar, por favor?",Hardware,Média,Segurança
Foi identificado que VPN registrou conexões incomuns para uma conta. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Segurança,Crítica,Infraestrutura
Foi identificado que computador corporativo está superaquecendo. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Hardware,Baixa,Infraestrutura
"Estamos com uma ocorrência em que conta apresenta acessos que o usuário não reconhece. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Acesso,Baixa,Segurança
Estamos com uma ocorrência em que equipamento de impressão perdeu comunicação com a rede. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Impressora,Alta,Infraestrutura
Estamos com uma ocorrência em que VPN registrou conexões incomuns para uma conta. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Segurança,Crítica,Infraestrutura
Estamos com uma ocorrência em que houve tentativa de login em horário incomum. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Acesso,Crítica,Segurança
Foi identificado que foram recebidos anexos inesperados de remetente desconhecido. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,E-mail,Crítica,Segurança
Foi identificado que conta apresenta acessos que o usuário não reconhece. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Acesso,Alta,Segurança
Estamos com uma ocorrência em que usuário recebeu aviso de alteração de senha que não solicitou. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Acesso,Crítica,Segurança
Foi identificado que disco do computador apresenta erros durante o uso. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Hardware,Baixa,Infraestrutura
"Foi identificado que computador não liga mesmo estando conectado à tomada. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Hardware,Alta,Suporte N1
Foi identificado que aplicação apresenta erro depois da última atualização. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Software,Baixa,Sistemas
Estamos com uma ocorrência em que notebook corporativo apresenta comportamento físico incomum após manutenção. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Hardware,Alta,Segurança
Estamos com uma ocorrência em que conexão com o servidor está intermitente. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
"Estamos com uma ocorrência em que regra automática de e-mail não está funcionando corretamente. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",E-mail,Crítica,Sistemas
"Foi identificado que aplicativo solicita permissões incomuns que não eram pedidas antes. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Software,Crítica,Segurança
Foi identificado que navegador redireciona para páginas inesperadas. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Precisamos de orientação para resolver a situação.,Segurança,Média,Segurança
"Estamos com uma ocorrência em que usuário precisa de ajuda para selecionar a rede corporativa correta. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Rede,Alta,Suporte N1
"Foi identificado que notebook corporativo apresenta comportamento físico incomum após manutenção. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Hardware,Alta,Segurança
Preciso de suporte porque caixa de e-mail apresenta erro ao abrir. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,E-mail,Alta,Suporte N1
Estamos com uma ocorrência em que VPN registrou conexões incomuns para uma conta. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Infraestrutura
Foi identificado que teclado parou de responder corretamente. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Solicito análise da equipe responsável.,Hardware,Média,Suporte N1
Preciso de suporte porque acesso a recursos internos pela rede está falhando. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
"Preciso de suporte porque foi identificado tráfego de rede incomum em uma estação. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Rede,Média,Segurança
"Foi identificado que equipamento de impressão perdeu comunicação com a rede. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Impressora,Média,Infraestrutura
Estamos com uma ocorrência em que VPN corporativa não estabelece conexão. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Rede,Alta,Infraestrutura
"Preciso de suporte porque computador corporativo está superaquecendo. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Hardware,Média,Infraestrutura
Foi identificado que senha do usuário não está sendo aceita. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Acesso,Crítica,Suporte N1
"Foi identificado que credenciais parecem ter sido utilizadas em outro dispositivo. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Acesso,Crítica,Segurança
Estamos com uma ocorrência em que regra automática de e-mail não está funcionando corretamente. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Solicito análise da equipe responsável.,E-mail,Média,Sistemas
Foi identificado que funcionalidade do portal corporativo não responde. A atividade pode continuar por outro caminho e não há interrupção relevante. Precisamos de orientação para resolver a situação.,Software,Baixa,Sistemas
Foi identificado que arquivo corporativo foi alterado sem explicação. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Precisamos de orientação para resolver a situação.,Segurança,Alta,Segurança
"Foi identificado que rede apresenta perda de conexão durante o trabalho. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Podem verificar, por favor?",Rede,Média,Infraestrutura
"Preciso de suporte porque impressora compartilhada não está disponível para alguns usuários. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Impressora,Crítica,Infraestrutura
Estamos com uma ocorrência em que houve tentativa de login em horário incomum. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,Acesso,Alta,Segurança
"Preciso de suporte porque usuário não consegue entrar na conta corporativa. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Acesso,Baixa,Suporte N1
Foi identificado que funcionalidade do portal corporativo não responde. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Software,Alta,Sistemas
Foi identificado que computador não consegue acessar a rede corporativa. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Solicito análise da equipe responsável.,Rede,Crítica,Infraestrutura
"Preciso de suporte porque navegador redireciona para páginas inesperadas. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Solicito análise da equipe responsável.",Segurança,Média,Segurança
