texto,categoria,prioridade,setor,grupo
Podem verificar? O aplicativo começou a falhar depois de uma atualização. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. Isso começou hoje.,Software,Média,Sistemas,atualizacao
"Pessoal, o sistema apresenta erro desde a última versão instalada. A ocorrência interrompeu uma operação essencial em larga escala. Conseguem verificar?",Software,Crítica,Sistemas,atualizacao
"Pessoal, o programa não funciona como antes após ser atualizado. A ocorrência já compromete o trabalho de uma equipe inteira.",Software,Alta,Sistemas,atualizacao
O equipamento não aceita novos trabalhos de impressão. Não há atividade parada; preciso apenas que seja verificado quando possível. Isso começou hoje.,Impressora,Baixa,Suporte N1,offline
Estou com um problema: Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. O problema é que o teclado parou de responder em algumas teclas. Podem me ajudar?,Hardware,Média,Suporte N1,perifericos
Estou com um problema: Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que surgiram alertas sobre um possível software malicioso.,Segurança,Alta,Segurança,malware
Estou com um problema: Grande parte da operação está parada e não existe alternativa disponível. O problema é que o software apresenta erro ao concluir a configuração. Solicito análise.,Software,Crítica,Sistemas,instalacao
"Pessoal, o notebook não carrega mesmo conectado à energia. O impacto é pequeno neste momento e não existe urgência operacional.",Hardware,Baixa,Suporte N1,energia
Estou com um problema: É um incômodo pontual e o trabalho continua normalmente. O problema é que o filtro configurado não está sendo aplicado. Isso começou hoje.,E-mail,Baixa,Sistemas,regras
"Tenho uma ocorrência em que Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que a estação não consegue acessar uma pasta compartilhada. Solicito análise.",Rede,Média,Infraestrutura,recursos_rede
O dispositivo de impressão perdeu comunicação com as estações. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.,Impressora,Alta,Infraestrutura,rede_impressao
"Olá, novos e-mails não aparecem automaticamente. É um incômodo pontual e o trabalho continua normalmente. Conseguem verificar?",E-mail,Baixa,Suporte N1,sincronizacao
"Olá, os e-mails não estão sendo movidos para a pasta configurada. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Solicito análise.",E-mail,Baixa,Sistemas,regras
Preciso de ajuda: O processo automático entre os sistemas parou. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Podem me ajudar?,Software,Alta,Sistemas,integracao
Estou com um problema: Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que um programa necessário não abre depois da instalação. Podem me ajudar?,Software,Baixa,Suporte N1,instalacao
"Pessoal, as páginas estão saindo com falhas na impressão. A ocorrência interrompeu uma operação essencial em larga escala. Conseguem verificar?",Impressora,Crítica,Suporte N1,qualidade
Tenho uma ocorrência em que A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que uma configuração foi modificada sem autorização. Conseguem verificar?,Segurança,Crítica,Segurança,alteracao_nao_autorizada
Podem verificar? A organização automática das mensagens falhou. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Conseguem verificar?,E-mail,Média,Sistemas,regras
"Bom dia, O impacto é pequeno neste momento e não existe urgência operacional. O problema é que o encaminhamento automático parou de funcionar. Agradeço se puderem verificar.",E-mail,Baixa,Sistemas,regras
Tenho uma ocorrência em que O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que a imagem desaparece enquanto o equipamento continua ligado. Podem me ajudar?,Hardware,Alta,Suporte N1,video
"Olá, a caixa corporativa apresenta falha ao carregar. Não há atividade parada; preciso apenas que seja verificado quando possível. Agradeço se puderem verificar.",E-mail,Baixa,Suporte N1,caixa
Podem verificar? O serviço de e-mail falha quando tento enviar. A ocorrência já compromete o trabalho de uma equipe inteira. Agradeço se puderem verificar.,E-mail,Alta,Suporte N1,envio
"Pessoal, uma atualização deixou a aplicação instável. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. Podem me ajudar?",Software,Crítica,Sistemas,atualizacao
Preciso de ajuda: A conexão segura com a rede corporativa não completa. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Podem me ajudar?,Rede,Crítica,Infraestrutura,vpn
Estou com um problema: A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que apareceu uma autenticação de um dispositivo desconhecido. Solicito análise.,Segurança,Alta,Segurança,acesso_suspeito
A imagem desaparece enquanto o equipamento continua ligado. Grande parte da operação está parada e não existe alternativa disponível. Solicito análise.,Hardware,Crítica,Suporte N1,video
Podem verificar? A porta de rede parece não estabelecer comunicação. Não há atividade parada; preciso apenas que seja verificado quando possível.,Rede,Baixa,Infraestrutura,cabeada
"Olá, a estação não obtém conexão pelo cabo de rede. Grande parte da operação está parada e não existe alternativa disponível. Podem me ajudar?",Rede,Crítica,Infraestrutura,cabeada
"Bom dia, Um serviço essencial para a empresa ficou indisponível para muitos usuários. O problema é que um recurso foi modificado sem registro conhecido da equipe. Podem me ajudar?",Segurança,Crítica,Segurança,alteracao_nao_autorizada
Tenho uma ocorrência em que Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que o acesso remoto apresenta erro de conexão. Conseguem verificar?,Rede,Baixa,Infraestrutura,vpn
Podem verificar? Várias estações perderam acesso ao dispositivo de impressão. A ocorrência já compromete o trabalho de uma equipe inteira. Isso começou hoje.,Impressora,Alta,Infraestrutura,rede_impressao
Tenho uma ocorrência em que A ocorrência interrompeu uma operação essencial em larga escala. O problema é que o aplicativo autenticador não aceita o código. Podem me ajudar?,Acesso,Crítica,Suporte N1,mfa
"Olá, a API usada pela aplicação está retornando falha. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Preciso de orientação.",Software,Média,Sistemas,integracao
"Identificamos que o sinal está disponível, mas a máquina não consegue navegar. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência.",Rede,Média,Infraestrutura,wifi
"Bom dia, A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que a verificação em duas etapas não conclui. Agradeço se puderem verificar.",Acesso,Média,Suporte N1,mfa
"Pessoal, a API usada pela aplicação está retornando falha. Grande parte da operação está parada e não existe alternativa disponível. Isso começou hoje.",Software,Crítica,Sistemas,integracao
"Olá, o aplicativo autenticador não aceita o código. Não há atividade parada; preciso apenas que seja verificado quando possível. Podem me ajudar?",Acesso,Baixa,Suporte N1,mfa
Preciso de ajuda: Arquivos locais ficam indisponíveis de forma intermitente. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Agradeço se puderem verificar.,Hardware,Alta,Infraestrutura,armazenamento
Tenho uma ocorrência em que Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que não consigo digitalizar documentos no equipamento. Solicito análise.,Impressora,Baixa,Suporte N1,scanner
"Identificamos que há falhas frequentes ao salvar arquivos na máquina. O problema está limitado a uma estação, mas interfere no trabalho diário. Podem me ajudar?",Hardware,Média,Infraestrutura,armazenamento
"Bom dia, A ocorrência interrompeu uma operação essencial em larga escala. O problema é que o programa deixa de responder depois de alguns minutos. Solicito análise.",Software,Crítica,Suporte N1,aplicativo_fechando
Identificamos que não consigo entrar na minha conta corporativa. O problema afeta diversos usuários e precisa ser tratado com rapidez. Solicito análise.,Acesso,Alta,Suporte N1,login
"Tenho uma ocorrência em que Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que algumas mensagens esperadas não estão chegando.",E-mail,Média,Suporte N1,recebimento
Preciso de ajuda: O erp retorna erro ao registrar uma operação. Não há atividade parada; preciso apenas que seja verificado quando possível.,Software,Baixa,Sistemas,erp
"Pessoal, não consigo chegar aos recursos internos trabalhando de casa. Uma função importante para o setor ficou indisponível para várias pessoas. Conseguem verificar?",Rede,Alta,Infraestrutura,vpn
"Olá, mandei imprimir, mas o documento ficou parado na fila. Diversos usuários foram impactados e não há uma solução prática para o setor. Podem me ajudar?",Impressora,Alta,Suporte N1,fila
"Pessoal, o usuário ficou impedido de iniciar sessão. O problema está limitado a uma estação, mas interfere no trabalho diário. Conseguem verificar?",Acesso,Média,Suporte N1,bloqueio
"Pessoal, o computador parece iniciar normalmente, porém nada aparece na tela. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?",Hardware,Baixa,Suporte N1,video
Preciso redefinir a senha da conta. Uma função importante para o setor ficou indisponível para várias pessoas. Isso começou hoje.,Acesso,Alta,Suporte N1,senha
"Olá, e-mails externos não estão chegando à conta. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?",E-mail,Baixa,Suporte N1,recebimento
"Pessoal, uma tela do sistema de gestão não carrega. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?",Software,Baixa,Sistemas,erp
"Olá, o equipamento não consegue acessar recursos usando o cabo. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Preciso de orientação.",Rede,Média,Infraestrutura,cabeada
Minha conta ficou bloqueada depois de algumas tentativas. O problema afeta diversos usuários e precisa ser tratado com rapidez. Conseguem verificar?,Acesso,Alta,Suporte N1,bloqueio
Tenho uma ocorrência em que Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que a etapa adicional de autenticação está falhando.,Acesso,Crítica,Suporte N1,mfa
"Bom dia, Uma função importante para o setor ficou indisponível para várias pessoas. O problema é que não recebo e-mails de determinados remetentes. Podem me ajudar?",E-mail,Alta,Suporte N1,recebimento
"Bom dia, Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que e-mails externos não estão chegando à conta. Isso começou hoje.",E-mail,Baixa,Suporte N1,recebimento
"Podem verificar? Foi detectado conteúdo potencialmente perigoso na estação. O problema está limitado a uma estação, mas interfere no trabalho diário. Podem me ajudar?",Segurança,Média,Segurança,malware
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que o equipamento apresenta aquecimento fora do normal. Podem me ajudar?",Hardware,Alta,Infraestrutura,temperatura
Um recurso interno da rede deixou de responder. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Agradeço se puderem verificar.,Rede,Média,Infraestrutura,recursos_rede
"Pessoal, a estação não consegue acessar uma pasta compartilhada. Grande parte da operação está parada e não existe alternativa disponível. Isso começou hoje.",Rede,Crítica,Infraestrutura,recursos_rede
"Estou com um problema: O problema está limitado a uma estação, mas interfere no trabalho diário. O problema é que um remetente desconhecido pediu informações da minha conta. Conseguem verificar?",Segurança,Média,Segurança,phishing
Preciso de ajuda: A navegação está muito instável no escritório. Grande parte da operação está parada e não existe alternativa disponível. Agradeço se puderem verificar.,Rede,Crítica,Infraestrutura,internet
"Olá, uma função do sistema de gestão parou de responder. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Preciso de orientação.",Software,Alta,Sistemas,erp
"Bom dia, Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que o acesso foi bloqueado e preciso voltar a trabalhar. Isso começou hoje.",Acesso,Média,Suporte N1,bloqueio
"Bom dia, O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que o equipamento demora muito para acessar dados do disco. Isso começou hoje.",Hardware,Alta,Infraestrutura,armazenamento
Identificamos que um dispositivo USB não é reconhecido. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Isso começou hoje.,Hardware,Média,Suporte N1,perifericos
"Estou com um problema: A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que o equipamento desliga sozinho pouco depois de iniciar. Solicito análise.",Hardware,Média,Suporte N1,energia
"Bom dia, Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que preciso redefinir a senha da conta. Solicito análise.",Acesso,Crítica,Suporte N1,senha
Tenho uma ocorrência em que A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que o notebook não carrega mesmo conectado à energia. Isso começou hoje.,Hardware,Alta,Suporte N1,energia
"Pessoal, e-mails externos não estão chegando à conta. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Solicito análise.",E-mail,Média,Suporte N1,recebimento
"Olá, a máquina acessa a internet mas não os recursos internos. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Agradeço se puderem verificar.",Rede,Baixa,Infraestrutura,recursos_rede
Podem verificar? O equipamento não aceita novos trabalhos de impressão. Grande parte da operação está parada e não existe alternativa disponível. Conseguem verificar?,Impressora,Crítica,Suporte N1,offline
Há atraso no recebimento de mensagens corporativas. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Solicito análise.,E-mail,Crítica,Segurança,recebimento
Podem verificar? O equipamento demora muito para acessar dados do disco. Não há atividade parada; preciso apenas que seja verificado quando possível. Solicito análise.,Hardware,Baixa,Suporte N1,armazenamento
Preciso de ajuda: Apareceu um programa no computador que eu nunca instalei. Diversos usuários foram impactados e não há uma solução prática para o setor. Solicito análise.,Segurança,Alta,Segurança,malware
Identificamos que as folhas saem com qualidade muito ruim. Uma função importante para o setor ficou indisponível para várias pessoas.,Impressora,Alta,Suporte N1,qualidade
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que algumas mensagens esperadas não estão chegando. Conseguem verificar?",E-mail,Alta,Suporte N1,recebimento
"Pessoal, a webcam não é detectada pelo computador. Muitos usuários estão impedidos de executar atividades críticas da empresa.",Hardware,Crítica,Suporte N1,perifericos
"Olá, não consigo chegar aos recursos internos trabalhando de casa. A rotina individual está comprometida, porém o restante da equipe segue trabalhando.",Rede,Média,Infraestrutura,vpn
"Bom dia, O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que minha conta registra acesso em um horário em que eu não estava trabalhando. Preciso de orientação.",Segurança,Média,Segurança,acesso_suspeito
Estou com um problema: Grande parte da operação está parada e não existe alternativa disponível. O problema é que as páginas estão saindo com falhas na impressão. Isso começou hoje.,Impressora,Crítica,Suporte N1,qualidade
O aplicativo começou a falhar depois de uma atualização. A ocorrência interrompeu uma operação essencial em larga escala.,Software,Crítica,Sistemas,atualizacao
Estou com um problema: Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que o processo automático entre os sistemas parou.,Software,Crítica,Sistemas,integracao
"Olá, a estação perdeu alimentação durante o expediente. Grande parte da operação está parada e não existe alternativa disponível. Preciso de orientação.",Hardware,Crítica,Suporte N1,energia
"Olá, a credencial atual não está sendo reconhecida. É um incômodo pontual e o trabalho continua normalmente. Solicito análise.",Acesso,Baixa,Suporte N1,senha
"Pessoal, o filtro configurado não está sendo aplicado. O impacto é pequeno neste momento e não existe urgência operacional. Conseguem verificar?",E-mail,Baixa,Sistemas,regras
Preciso de ajuda: A api usada pela aplicação está retornando falha. O problema afeta diversos usuários e precisa ser tratado com rapidez. Conseguem verificar?,Software,Alta,Sistemas,integracao
Estou com um problema: A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que a sessão remota com a rede corporativa fica instável. Solicito análise.,Rede,Alta,Infraestrutura,vpn
Podem verificar? O sistema rejeita minhas credenciais mesmo estando corretas. O usuário perdeu produtividade e precisa de suporte para continuar a atividade.,Acesso,Média,Suporte N1,login
"Pessoal, a caixa corporativa demora para atualizar. Uma função importante para o setor ficou indisponível para várias pessoas. Isso começou hoje.",E-mail,Alta,Suporte N1,sincronizacao
"Bom dia, O impacto é pequeno neste momento e não existe urgência operacional. O problema é que tenho acesso ao sistema, mas não ao recurso que preciso. Agradeço se puderem verificar.",Acesso,Baixa,Sistemas,permissao
A senha expirou e não consigo continuar. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Solicito análise.,Acesso,Média,Suporte N1,senha
Preciso de ajuda: A impressão apresenta manchas e trechos faltando. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Solicito análise.,Impressora,Média,Suporte N1,qualidade
Estou com um problema: A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que os dados não estão sincronizando entre as aplicações. Agradeço se puderem verificar.,Software,Alta,Sistemas,integracao
Preciso de ajuda: Não consigo fazer login no ambiente de trabalho. A equipe está sem conseguir concluir uma operação necessária para o trabalho.,Acesso,Alta,Segurança,login
"Minha conta registra acesso em um horário em que eu não estava trabalhando. Existe uma alternativa funcionando, então a solicitação pode aguardar. Solicito análise.",Segurança,Baixa,Segurança,acesso_suspeito
O headset deixou de funcionar na estação. Diversos usuários foram impactados e não há uma solução prática para o setor. Preciso de orientação.,Hardware,Alta,Suporte N1,perifericos
Não consigo digitalizar documentos no equipamento. Não há atividade parada; preciso apenas que seja verificado quando possível.,Impressora,Baixa,Suporte N1,scanner
"Olá, o equipamento não aceita novos trabalhos de impressão. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Podem me ajudar?",Impressora,Baixa,Suporte N1,offline
Podem verificar? O aplicativo trava e precisa ser aberto novamente. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Solicito análise.,Software,Média,Suporte N1,aplicativo_fechando
"Identificamos que a estação perde a conexão sem fio de tempos em tempos. Existe uma alternativa funcionando, então a solicitação pode aguardar. Agradeço se puderem verificar.",Rede,Baixa,Infraestrutura,wifi
O notebook não consegue se conectar à rede sem fio. Muitos usuários estão impedidos de executar atividades críticas da empresa. Podem me ajudar?,Rede,Crítica,Infraestrutura,wifi
Tenho uma ocorrência em que É um incômodo pontual e o trabalho continua normalmente. O problema é que uma mensagem afirma que minha conta será bloqueada se eu não informar credenciais. Podem me ajudar?,Segurança,Baixa,Segurança,phishing
Tenho uma ocorrência em que A ocorrência interrompeu uma operação essencial em larga escala. O problema é que a conexão sem fio cai várias vezes. Agradeço se puderem verificar.,Rede,Crítica,Infraestrutura,wifi
"Bom dia, Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que a nova versão do programa não abre corretamente. Isso começou hoje.",Software,Crítica,Sistemas,atualizacao
Identificamos que um recurso foi modificado sem registro conhecido da equipe. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Preciso de orientação.,Segurança,Média,Segurança,alteracao_nao_autorizada
"Pessoal, o computador executa ações inesperadas durante o expediente. O impacto é pequeno neste momento e não existe urgência operacional.",Segurança,Baixa,Segurança,comportamento_suspeito
Podem verificar? Uma mensagem afirma que minha conta será bloqueada se eu não informar credenciais. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Podem me ajudar?,Segurança,Crítica,Segurança,phishing
Tenho uma ocorrência em que O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que a ferramenta corporativa fecha ao gerar um relatório. Podem me ajudar?,Software,Média,Suporte N1,aplicativo_fechando
"Tenho uma ocorrência em que A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que a estação perde a conexão sem fio de tempos em tempos. Conseguem verificar?",Rede,Média,Infraestrutura,wifi
"Preciso de ajuda: Consigo receber, mas não consigo enviar mensagens. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Isso começou hoje.",E-mail,Média,Suporte N1,envio
Estou com um problema: A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que preciso consultar uma tela e recebo aviso de permissão. Solicito análise.,Acesso,Crítica,Sistemas,permissao
"Pessoal, a caixa de e-mail não abre corretamente. A ocorrência interrompeu uma operação essencial em larga escala. Solicito análise.",E-mail,Crítica,Suporte N1,caixa
Preciso de ajuda: A impressão fica pendente indefinidamente. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Preciso de orientação.,Impressora,Média,Suporte N1,fila
Identificamos que a API usada pela aplicação está retornando falha. Não há atividade parada; preciso apenas que seja verificado quando possível. Podem me ajudar?,Software,Baixa,Sistemas,integracao
"Identificamos que surgiram janelas e processos que o usuário não reconhece. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Podem me ajudar?",Segurança,Média,Segurança,comportamento_suspeito
Preciso de ajuda: Recebi uma mensagem pedindo para confirmar minha senha em um link. A ocorrência interrompeu uma operação essencial em larga escala. Podem me ajudar?,Segurança,Crítica,Segurança,phishing
Estou com um problema: Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que a estação perdeu alimentação durante o expediente. Conseguem verificar?,Hardware,Baixa,Suporte N1,energia
Tenho uma ocorrência em que Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que o mouse falha durante o uso. Conseguem verificar?,Hardware,Alta,Suporte N1,perifericos
Podem verificar? Os arquivos enviados para impressão não avançam. A ocorrência já compromete o trabalho de uma equipe inteira. Solicito análise.,Impressora,Alta,Suporte N1,fila
